iter	Passed	Remaining
0	167	166997
1	189	94734
2	210	69848
3	233	58041
4	253	50384
5	279	46227
6	294	41795
7	326	40453
8	342	37706
9	362	35866
10	383	34456
11	407	33539
12	431	32774
13	450	31759
14	478	31439
15	529	32588
16	565	32697
17	587	32025
18	618	31950
19	641	31410
20	676	31537
21	703	31282
22	723	30736
23	751	30540
24	778	30372
25	803	30106
26	828	29854
27	848	29458
28	864	28945
29	893	28883
30	930	29100
31	947	28658
32	966	28328
33	1036	29459
34	1072	29581
35	1102	29515
36	1136	29579
37	1159	29344
38	1196	29471
39	1238	29728
40	1267	29657
41	1305	29780
42	1329	29598
43	1359	29539
44	1391	29531
45	1407	29196
46	1426	28929
47	1444	28655
48	1462	28392
49	1486	28240
50	1520	28295
51	1544	28163
52	1560	27890
53	1579	27669
54	1600	27499
55	1621	27329
56	1639	27121
57	1663	27012
58	1682	26835
59	1703	26688
60	1727	26591
61	1742	26361
62	1770	26328
63	1796	26279
64	1819	26166
65	1838	26021
66	1849	25757
67	1865	25574
68	1889	25491
69	1908	25356
70	1932	25281
71	1952	25170
72	1972	25050
73	1994	24963
74	2010	24794
75	2028	24658
76	2050	24574
77	2067	24435
78	2083	24290
79	2105	24216
80	2126	24127
81	2145	24022
82	2165	23920
83	2183	23805
84	2209	23787
85	2222	23624
86	2237	23484
87	2256	23383
88	2274	23282
89	2286	23119
90	2306	23036
91	2319	22896
92	2333	22759
93	2357	22725
94	2375	22627
95	2395	22554
96	2417	22503
97	2433	22396
98	2458	22373
99	2474	22274
100	2490	22168
101	2505	22060
102	2528	22021
103	2560	22056
104	2571	21918
105	2588	21833
106	2605	21743
107	2629	21719
108	2648	21648
109	2664	21561
110	2684	21498
111	2701	21419
112	2721	21364
113	2742	21315
114	2761	21253
115	2781	21200
116	2805	21170
117	2822	21098
118	2834	20988
119	2856	20950
120	2874	20883
121	2896	20846
122	2917	20804
123	2936	20743
124	2954	20678
125	2977	20654
126	2995	20593
127	3018	20566
128	3035	20493
129	3056	20455
130	3079	20431
131	3106	20430
132	3149	20530
133	3179	20549
134	3241	20768
135	3265	20743
136	3317	20895
137	3334	20826
138	3353	20774
139	3375	20735
140	3397	20698
141	3416	20640
142	3432	20570
143	3451	20516
144	3473	20480
145	3488	20405
146	3503	20330
147	3522	20278
148	3548	20266
149	3567	20214
150	3591	20195
151	3609	20139
152	3629	20089
153	3647	20036
154	3669	20002
155	3685	19941
156	3715	19947
157	3732	19893
158	3758	19882
159	3787	19885
160	3812	19866
161	3834	19833
162	3865	19851
163	3888	19819
164	3909	19782
165	3931	19753
166	3948	19694
167	3973	19676
168	3994	19639
169	4010	19580
170	4038	19579
171	4061	19553
172	4084	19527
173	4106	19492
174	4137	19507
175	4165	19500
176	4247	19750
177	4285	19791
178	4325	19837
179	4344	19791
180	4368	19767
181	4387	19719
182	4404	19664
183	4426	19629
184	4443	19574
185	4465	19542
186	4485	19499
187	4502	19447
188	4516	19380
189	4532	19321
190	4548	19267
191	4565	19213
192	4580	19152
193	4590	19073
194	4608	19023
195	4622	18961
196	4637	18904
197	4651	18842
198	4664	18775
199	4678	18714
200	4707	18711
201	4723	18661
202	4735	18590
203	4750	18538
204	4768	18491
205	4782	18433
206	4796	18376
207	4813	18329
208	4842	18326
209	4873	18335
210	4896	18311
211	4924	18305
212	4947	18280
213	4971	18260
214	4989	18219
215	5005	18169
216	5016	18102
217	5032	18051
218	5047	179219219	5062	179220220	5079	179221221	5094	178222	5021	17497
223	5037	17451
224	5056	17415
225	5074	17380
226	5097	17358
227	5109	17300
228	5133	17283
229	5161	17279
230	5184	17259
231	5204	17227
232	5247	17272
233	5273	17262
234	5291	17226
235235	5395	174236236	5413	174237	5338	17091
238	5353	17045
239	5370	17006
240	5397	16997
241	5426	16997
242	5442	16955
243	5458	16912
244	5475	16872
245	5496	16845
246	5521	16831
247247	5638	170248248	5670	171249249	5693	170250250	5715	170251	5658	16795
252	5685	16785
253253	5784	169254	5737	16762
255	5757	16733
256256	5849	169257257	5869	16881
258	5902	16887
259	5930	16877
260	5957	16867
261	5976	16833
262	6003	16823
263	6028	16807
264	6047	16773
265	6073	16760
266	6091	16723
267	6109	16687
268	6149	16711
269	6163	16665
270	6182	16631
271	6200	16594
272	6211	16541
273	6233	16517
274	6253	16485
275	6268	16444
276	6288	16413
277	6309	16387
278	6330	16359
279	6350	16331
280	6370	16301
281	6386	16261
282	6401	16219
283	6417	16180
284	6440	16157
285	6455	16115
286	6474	16085
287	6494	16056
288	6525	16055
289	6542	16017
290	6564	15994
291	6581	15958
292	6604	15935
293	6620	15899
294	6638	15864
295	6657	15833
296	6680	15812
297	6702	15790
298	6719	15753
299	6753	15759
300	6779	15743
301	6797	15711
302	6824	15698
303	6842	15666
304	6864	15640
305	6886	15617
306	6903	15582
307	6922	15553
308	6955	15555
309	6973	15522
310	6995	15497
311	7014	15467
312	7032	15435
313	7046	15393
314	7060	153315315	7081	15328
316	7095	15287
317	7108	152318318	7117	151319319	7154	152320320	7176	151321321	7198	151322322	7228	151323	7169	14958
324	7184	14921
325	7209	14905
326326	7332	150327327	7364	150328328	7385	150329	7321	14864
330	7351	14858
331	7380	14850
332	7400	14823
333	7427	14811
334	7457	14803
335	7516	14853
336	7542	14839
337	7565	14816
338	7581	14781
339	7613	14779
340	7633	14752
341	7665	14748
342	7688	14727
343	7710	14703
344	7726	14669
345	7743	14636
346	7759	14602
347	7799	14613
348	7818	14584
349	7833	14547
350	7851	14517
351	7868	14485
352	7882	14448
353	7906	14427
354354	7961	144355	7938	14360
356	7958	14334
357	7977	14305
358	7995	14276
359	8021	14261
360360	8082	143361	8098	14272
362	8147	14296
363	8171	14278
364	8194	14256
365	8216	14233
366	8239	14212
367	8261	14187
368	8280	14159
369	8297	14128
370	8316	14099
371	8330	14062
372	8347	14032
373	8363	13998
374	8380	13966
375	8399	13939
376	8426	13924
377	8448	13901
378	8473	13884
379	8493	13857
380380	8515	138381381	8529	137382382	8550	137383	8571	13749
384	8592	13725
385	8607	13691
386	8639	13685
387	8670	13676
388	8697	13661
389	8714	13630
390	8732	13601
391	8757	13582
392	8774	13552
393	8800	13535
394	8822	13513
395	8846	13492
396	8872	13476
397	8903	13467
398	8944	13472
399	8970	13455
400	8989	13427
401	9004	13394
402	9027	13373
403	9049	13350
404	9060	13310
405	9076	13280
406	9097	13254
407	9116	13227
408	9133	13197
409	9151	13169
410	9170	13141
411	9186	13110
412	9211	13093
413	9237	13075
414	9264	13059
415	9293	13046
416	9310	13017
417	9342	13007
418	9367	12989
419	9397	12977
420	9425	12962
421	9454	12949
422	9479	12930
423	9512	12923
424	9539	12905
425	9556	12877
426	9583	12860
427	9611	12844
428	9640	12831
429	9662	12808
430	9696	12801
431	9745	12813
432	9785	12813
433	9820	12807
434	9842	12783
435	9866	12763
436	9886	12737
437	9907	12712
438	9930	12690
439	9959	12675
440	9976	12646
441	9996	12619
442	10012	12589
443	10029	12559
444	10045	12529
445	10072	12512
446	10096	12490
447	10113	12461
448	10132	12434
449	10153	12409
450	10172	12383
451	10194	12360
452	10213	12333
453	10245	12322
454	10264	12295
455	10281	12265
456	10301	12240
457	10317	12209
458	10335	12181
459	10353	12154
460	10389	12146
461	10421	12135
462	10448	12117
463	10475	12101
464	10498	12078
465	10521	12056
466	10552	12044
467	10575	12021
468	10596	11997
469	10625	11981
470	10661	11974
471	10694	11963
472	10712	11935
473	10735	11912
474	10766	11899
475	10798	11887
476	10843	11889
477	10860	11860
478	10875	11828
479	10899	11807
480	10926	11789
481	10944	11761
482	10971	11744
483	10992	11719
484	11014	11696
485	11048	11685
486	11067	11658
487	11090	11635
488	11117	11617
489	11146	11600
490	11181	11591
491	11199	11564
492	11228	11547
493	11248	11521
494	11268	11496
495	11296	11479
496	11342	11479
497	11371	11462
498	11403	11449
499	11424	11424
500	11447	11401
501	11470	11379
502	11489	11352
503	11505	11322
504	11524	11296
505	11553	11279
506	11585	11265
507	11611	11245
508	11635	11224
509	11672	11214
510	11708	11204
511	11735	11185
512	11766	11169
513	11797	11154
514	11818	11130
515	11837	11103
516	11862	11082
517	11889	11063
518	11907	11035
519	11919	11002
520	11931	10969
521	11947	10940
522	11962	10910
523	11976	10879
524	12006	10862
525	12025	10836
526	12042	10808
527	12062	10782
528	12078	10753
