run_id,dataset,mode,run_index,plan_valid,execution_success,best_score,n_iterations,validator_issues_caught,solved,duration_seconds
107f6b5c-4020-486b-bedd-aee33bbe0772,adult,baseline,1,1,0,0.0,1,0,0,4.736
c7fc72df-a627-4f4f-ad4f-521c845a03fd,adult,schema,1,1,0,0.0,2,0,0,16.699
ac570e74-baed-4278-8bf3-716bfbd39423,bank_marketing,schema,1,0,0,0.0,0,0,0,2.009
2bdb0aca-5e20-4ae5-b8d3-67f1efda6659,breast_cancer,baseline,1,1,0,0.0,1,0,0,4.759
a1b88c11-20d7-4eeb-aed9-8b4d2f4c1a2c,breast_cancer,schema,1,1,1,0.962104,1,0,1,9.269
b6f06c55-6d57-4653-9586-b621fe5e200b,car_evaluation,baseline,1,1,1,0.960021,1,0,1,33.607
d3d7e004-024f-4af7-96e8-39b5dd84fdec,car_evaluation,schema,1,1,1,0.960021,1,0,1,17.641
a52e165c-fd6c-4c0e-9c17-355e72d9967a,diabetes,baseline,1,1,0,0.0,1,0,0,3.41
cc1828a6-3681-4e78-a8db-6867f6213ac8,diabetes,schema,1,1,1,0.737384,1,1,1,9.132
c8c39d89-d8ac-4513-8957-6ba7200c71ba,german_credit,baseline,1,1,0,0.0,1,0,0,2.928
555be03c-04cd-4999-8385-41a07cac5253,german_credit,schema,1,1,1,0.698615,1,0,1,12.994
eadf5540-81e5-4b9c-b08c-b10db9cdc4d9,iris,baseline,1,1,1,0.959798,1,0,1,27.389
94125e2e-ad7b-4727-b042-8e9f0764d41c,iris,baseline,2,1,1,0.959798,1,0,1,8.101
f033c377-a8da-4a1a-8f66-fe44157840c4,iris,baseline,3,1,1,0.953216,1,0,1,7.538
764bf356-7bf4-44ab-8c2b-68483c5f2761,iris,baseline,4,1,1,0.959798,1,0,1,6.984
3d6d0b7f-0827-4ede-8ab7-d95463ad1603,iris,baseline,5,1,1,0.959798,1,0,1,6.293
974316b2-f1da-423a-8474-b81593e89404,iris,schema,1,1,1,0.96,1,1,1,7.037
e2cd4b13-6d03-4fcb-a469-e1cacd74b585,iris,schema,2,1,1,0.96,1,1,1,5.199
db055205-c769-47f3-985e-c65ffabc6119,iris,schema,3,1,1,0.96,1,1,1,4.221
391d97fa-af21-4887-869e-cd5a3bc51cea,iris,schema,4,1,1,0.96,1,1,1,5.684
43895c25-2a29-47d2-8772-7ea37bf7eb14,jungle_chess,baseline,1,1,0,0.0,1,0,0,2.537
e07b96a4-557c-4f7b-b319-fc65335fe825,jungle_chess,schema,1,1,1,0.400132,1,0,1,27.04
ec7ff9d1-5735-404d-941f-55e955d7de6e,vehicle,baseline,1,1,0,0.0,1,0,0,3.112
f168bfbc-b96e-4092-827b-7e4a53c79e49,vehicle,schema,1,1,1,0.788444,1,0,1,11.14
fe65f21f-bd4b-43a7-b425-a5bfadaaf07b,wine,baseline,1,1,0,0.0,1,0,0,3.402
708d2fb2-5d9f-47cf-b75c-9634df9174a1,wine,schema,1,1,1,0.983016,1,0,1,11.488
