dataset,mode,n_runs,plan_validity_%,exec_success_%,mean_score,std_score,solve_rate_%,mean_iterations,validator_issues
adult,schema,1,100.0,0.0,,,0.0,2.0,0
adult,baseline,1,100.0,0.0,,,0.0,1.0,0
bank_marketing,schema,1,0.0,0.0,,,0.0,0.0,0
breast_cancer,schema,1,100.0,100.0,0.9621,,100.0,1.0,0
breast_cancer,baseline,1,100.0,0.0,,,0.0,1.0,0
car_evaluation,schema,1,100.0,100.0,0.96,,100.0,1.0,0
car_evaluation,baseline,1,100.0,100.0,0.96,,100.0,1.0,0
diabetes,schema,1,100.0,100.0,0.7374,,100.0,1.0,1
diabetes,baseline,1,100.0,0.0,,,0.0,1.0,0
german_credit,schema,2,100.0,50.0,0.6986,,50.0,2.0,0
german_credit,baseline,1,100.0,0.0,,,0.0,1.0,0
iris,schema,5,100.0,100.0,0.96,0.0,100.0,1.0,5
iris,baseline,5,100.0,100.0,0.9585,0.0029,100.0,1.0,0
jungle_chess,schema,1,100.0,100.0,0.4001,,100.0,1.0,0
jungle_chess,baseline,1,100.0,0.0,,,0.0,1.0,0
vehicle,schema,1,100.0,100.0,0.7884,,100.0,1.0,0
vehicle,baseline,1,100.0,0.0,,,0.0,1.0,0
wine,schema,1,100.0,100.0,0.983,,100.0,1.0,0
wine,baseline,1,100.0,0.0,,,0.0,1.0,0
