dataset,mode,n_runs,plan_validity_%,exec_success_%,mean_score,std_score,ci_95_lo,ci_95_hi,solve_rate_%,mean_iterations,validator_issues
adult,schema,5,100.0,100.0,0.8151,0.0006,0.8148,0.8156,100.0,1.0,0
adult,baseline,5,100.0,0.0,,,,,0.0,1.0,0
bank_marketing,schema,5,100.0,100.0,0.7654,0.0,0.7654,0.7654,100.0,1.0,0
bank_marketing,baseline,5,100.0,100.0,0.7592,0.0056,0.7552,0.7633,100.0,1.0,0
breast_cancer,schema,5,100.0,100.0,0.9639,0.0021,0.9623,0.9655,100.0,1.0,0
breast_cancer,baseline,5,100.0,100.0,0.9655,0.0013,0.9646,0.9665,100.0,1.0,0
car_evaluation,schema,5,100.0,100.0,0.9673,0.0067,0.9622,0.9724,100.0,1.0,1
car_evaluation,baseline,5,100.0,100.0,0.96,0.0,0.96,0.96,100.0,1.0,0
diabetes,schema,5,100.0,100.0,0.7374,0.0,0.7374,0.7374,100.0,1.0,5
diabetes,baseline,5,100.0,100.0,0.7374,0.0,0.7374,0.7374,100.0,1.0,0
german_credit,schema,5,100.0,100.0,0.7298,0.0427,0.6965,0.762,100.0,1.6,0
german_credit,baseline,5,100.0,100.0,0.6851,0.0013,0.6839,0.6861,100.0,1.0,0
iris,schema,5,100.0,100.0,0.96,0.0,0.96,0.96,100.0,1.0,5
iris,baseline,5,100.0,100.0,0.9598,0.0001,0.9598,0.9599,100.0,1.0,0
jungle_chess,schema,5,100.0,100.0,0.4027,0.0128,0.3932,0.4127,60.0,1.6,0
jungle_chess,baseline,5,100.0,100.0,0.3985,0.0023,0.3967,0.4002,40.0,1.8,0
vehicle,schema,5,100.0,100.0,0.7884,0.0,0.7884,0.7884,100.0,1.0,1
vehicle,baseline,5,100.0,100.0,0.7734,0.0183,0.7596,0.7868,100.0,1.0,0
wine,schema,5,100.0,100.0,0.9831,0.004,0.9797,0.9864,100.0,1.0,0
wine,baseline,5,100.0,100.0,0.9851,0.0023,0.984,0.9871,100.0,1.0,0
