dataset,exec_delta_pp,solve_delta_pp,score_delta,schema_score,baseline_score,schema_ci,baseline_ci,schema_exec_%,baseline_exec_%,validator_issues,schema_solves_%,baseline_solves_%
adult,100.0,100.0,,0.8151,,"[0.8148, 0.8156]","[nan, nan]",100.0,0.0,0,100.0,0.0
bank_marketing,0.0,0.0,0.0062,0.7654,0.7592,"[0.7654, 0.7654]","[0.7552, 0.7633]",100.0,100.0,0,100.0,100.0
breast_cancer,0.0,0.0,-0.0016,0.9639,0.9655,"[0.9623, 0.9655]","[0.9646, 0.9665]",100.0,100.0,0,100.0,100.0
car_evaluation,0.0,0.0,0.0073,0.9673,0.96,"[0.9622, 0.9724]","[0.9600, 0.9600]",100.0,100.0,1,100.0,100.0
diabetes,0.0,0.0,0.0,0.7374,0.7374,"[0.7374, 0.7374]","[0.7374, 0.7374]",100.0,100.0,5,100.0,100.0
german_credit,0.0,0.0,0.0447,0.7298,0.6851,"[0.6965, 0.7620]","[0.6839, 0.6861]",100.0,100.0,0,100.0,100.0
iris,0.0,0.0,0.0002,0.96,0.9598,"[0.9600, 0.9600]","[0.9598, 0.9599]",100.0,100.0,5,100.0,100.0
jungle_chess,0.0,20.0,0.0042,0.4027,0.3985,"[0.3932, 0.4127]","[0.3967, 0.4002]",100.0,100.0,0,60.0,40.0
vehicle,0.0,0.0,0.015,0.7884,0.7734,"[0.7884, 0.7884]","[0.7596, 0.7868]",100.0,100.0,1,100.0,100.0
wine,0.0,0.0,-0.002,0.9831,0.9851,"[0.9797, 0.9864]","[0.9840, 0.9871]",100.0,100.0,0,100.0,100.0
